1E+14,3.687497935
1.52642E+14,3.69710443
2.32995E+14,3.706283291
3.55648E+14,3.71936731
5.42868E+14,3.739069844
8.28643E+14,3.7629869
1.26E+15,3.810425575
1.93E+15,3.874796134
2.95E+15,3.968597258
4.50E+15,4.101362367
6.87E+15,4.282394932
1.05E+16,4.51676829
1.60E+16,4.79578892
2.44E+16,5.094776085
3.73E+16,5.357988395
5.69E+16,5.509145897
8.69E+16,5.474692704
1.33E+17,5.211586151
2.02E+17,4.749786866
3.09E+17,4.163073202
4.71E+17,3.536373869
7.20E+17,2.937295802
1.10E+18,2.402947755
1.68E+18,1.948437587
2.56E+18,1.571551368
3.91E+18,1.264546854
5.96E+18,1.016508598
9.10E+18,0.816898096
1.39E+19,0.656940932
2.12E+19,0.528540931
3.24E+19,
4.94E+19,
7.54E+19,
1.15E+20,
1.76E+20,
2.68E+20,
4.09E+20,
6.25E+20,
9.54E+20,
1.46E+21,
2.22E+21,
3.39E+21,
5.18E+21,
7.91E+21,
1.21E+22,
1.84E+22,
2.81E+22,
4.29E+22,
6.55E+22,
1.00E+23,
